plant_id,plant_name,soil_moisture,temperature,last_watered,recording_at,botanist_first_name,botanist_last_name,botanist_email,botanist_phone
12,Brugmansia X Candida,91.72344785166995,12.833760135682212,"Tue, 26 Nov 2024 13:13:51 GMT",2024-11-26 15:34:16,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
13,Canna ‘Striata’,93.53725530339139,9.55736001455826,"Tue, 26 Nov 2024 13:36:47 GMT",2024-11-26 15:34:17,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
14,Colocasia Esculenta,95.6873879830668,13.167552672483628,"Tue, 26 Nov 2024 14:17:54 GMT",2024-11-26 15:34:18,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
15,Cuphea ‘David Verity’,93.59913546372549,9.997414171382545,"Tue, 26 Nov 2024 13:45:31 GMT",2024-11-26 15:34:19,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
16,Euphorbia Cotinifolia,91.11287831714286,13.303589638785569,"Tue, 26 Nov 2024 13:50:40 GMT",2024-11-26 15:34:20,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
17,Ipomoea Batatas,94.66373751988361,9.799462802416564,"Tue, 26 Nov 2024 14:02:40 GMT",2024-11-26 15:34:21,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
18,Manihot Esculenta ‘Variegata’,96.22891899029126,9.064144789915476,"Tue, 26 Nov 2024 14:29:39 GMT",2024-11-26 15:34:23,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
19,Musa Basjoo,92.73611949301025,13.872721176318613,"Tue, 26 Nov 2024 13:24:30 GMT",2024-11-26 15:34:24,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
20,Salvia Splendens,97.36940174682307,8.628087523074537,"Tue, 26 Nov 2024 14:49:34 GMT",2024-11-26 15:34:25,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
21,Anthurium,95.98564303228869,11.040427561311084,"Tue, 26 Nov 2024 14:23:59 GMT",2024-11-26 15:34:26,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
22,Bird of Paradise,91.16857074074073,9.565145125871926,"Tue, 26 Nov 2024 13:03:26 GMT",2024-11-26 15:34:27,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
23,Cordyline Fruticosa,97.82967717658349,11.440737098453265,"Tue, 26 Nov 2024 14:56:47 GMT",2024-11-26 15:34:28,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
24,Ficus,96.98508285373134,13.074008325681241,"Tue, 26 Nov 2024 14:44:00 GMT",2024-11-26 15:34:29,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
25,Palm Trees,94.58101748350613,11.604166072334785,"Tue, 26 Nov 2024 13:58:41 GMT",2024-11-26 15:34:30,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
26,Dieffenbachia Seguine,96.06843903587857,14.166018918722393,"Tue, 26 Nov 2024 14:23:18 GMT",2024-11-26 15:34:31,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
28,Croton,96.55282201698301,12.421822020477896,"Tue, 26 Nov 2024 14:37:02 GMT",2024-11-26 15:34:32,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
29,Aloe Vera,91.964458595884,10.864751360090626,"Tue, 26 Nov 2024 13:11:24 GMT",2024-11-26 15:34:33,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
30,Ficus Elastica,94.51592349263352,14.525623065378372,"Tue, 26 Nov 2024 13:55:19 GMT",2024-11-26 15:34:34,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
31,Sansevieria Trifasciata,91.41034243365385,13.377838548587293,"Tue, 26 Nov 2024 13:05:43 GMT",2024-11-26 15:34:36,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
32,Philodendron Hederaceum,96.14074457952286,10.620345775266427,"Tue, 26 Nov 2024 14:29:54 GMT",2024-11-26 15:34:36,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
33,Schefflera Arboricola,94.8351197145631,13.571959994500768,"Tue, 26 Nov 2024 14:05:58 GMT",2024-11-26 15:34:37,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
34,Aglaonema Commutatum,93.54394761500974,13.430063961113115,"Tue, 26 Nov 2024 13:44:15 GMT",2024-11-26 15:34:38,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
35,Monstera Deliciosa,92.78061581342547,12.957036053419726,"Tue, 26 Nov 2024 13:32:46 GMT",2024-11-26 15:34:39,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
36,Tacca Integrifolia,95.22133850281955,12.333789229570694,"Tue, 26 Nov 2024 14:09:55 GMT",2024-11-26 15:34:39,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
37,Psychopsis Papilio,95.94534807047619,11.101614407478369,"Tue, 26 Nov 2024 14:23:43 GMT",2024-11-26 15:34:40,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
38,Saintpaulia Ionantha,93.93974318418604,11.08625727927958,"Tue, 26 Nov 2024 13:46:06 GMT",2024-11-26 15:34:40,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
39,Gaillardia,95.44402657910447,13.419261218415286,"Tue, 26 Nov 2024 14:18:23 GMT",2024-11-26 15:34:41,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
40,Amaryllis,95.06081643438078,9.113774508794432,"Tue, 26 Nov 2024 14:05:38 GMT",2024-11-26 15:34:42,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
41,Caladium Bicolor,93.87173765018656,11.785598069393918,"Tue, 26 Nov 2024 13:45:13 GMT",2024-11-26 15:34:42,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
42,Chlorophytum Comosum,97.39326035714285,9.878158540341467,"Tue, 26 Nov 2024 14:49:43 GMT",2024-11-26 15:34:43,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
44,Araucaria Heterophylla,93.01811986939943,9.592515430321559,"Tue, 26 Nov 2024 13:32:40 GMT",2024-11-26 15:34:43,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
45,Begonia,94.75598629883946,9.034370045428243,"Tue, 26 Nov 2024 14:04:23 GMT",2024-11-26 15:34:45,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
46,Medinilla Magnifica,95.46362841252302,13.34314845823328,"Tue, 26 Nov 2024 14:12:39 GMT",2024-11-26 15:34:45,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
47,Calliandra Haematocephala,89.33028463,13.355896792322802,"Tue, 26 Nov 2024 13:30:18 GMT",2024-11-26 15:34:46,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
48,Zamioculcas Zamiifolia,96.27125411425781,14.905489749523628,"Tue, 26 Nov 2024 14:31:09 GMT",2024-11-26 15:34:47,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
49,Crassula Ovata,94.60311874538387,9.419151911153548,"Tue, 26 Nov 2024 14:02:15 GMT",2024-11-26 15:34:48,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
50,Epipremnum Aureum,94.67041612100678,13.191873032704471,"Tue, 26 Nov 2024 14:03:04 GMT",2024-11-26 15:34:49,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
